Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;126
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;8.767
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;9
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;8
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;14.809
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;7
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;3
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;591
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;24.599
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;25
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1.113
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;60
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;36.563
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;13
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;390
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;21
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1.157
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;40.479
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;38
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4.935
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;603
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;50.883
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;2.010
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;125
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2.609
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;89.095
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;172
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;22.985
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3.966
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;118.137
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;115
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;11.123
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;1.231
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1.519
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;53.357
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;1.512
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;24.411
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;4.970
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;107.685
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;1.355
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;22.103
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3.195
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;603
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;28.002
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2.428
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;14.878
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;2.524
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;76.705
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;2.400
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20.182
Centro-Oeste;Distrito Federal;Masculino;51 a 60;E-Condutor Carreta;2.473
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;61 a 70;A-Condutor Moto;179
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AB-Condutor Moto/Carro;11.420
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AC-Condutor Moto/Caminhão;822
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AD-Condutor Moto/Ônibus;5.186
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;714
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;54.278
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;2.118
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14.785
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1.688
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;38
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;3.169
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AC-Condutor Moto/Caminhão;114
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AD-Condutor Moto/Ônibus;951
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AE-Condutor Moto/Carreta;100
Centro-Oeste;Distrito Federal;Masculino;71 a 80;B-Condutor Carro;33.567
Centro-Oeste;Distrito Federal;Masculino;71 a 80;C-Condutor Caminhão;912
Centro-Oeste;Distrito Federal;Masculino;71 a 80;D-Condutor Ônibus;6.139
Centro-Oeste;Distrito Federal;Masculino;71 a 80;E-Condutor Carreta;441
Centro-Oeste;Distrito Federal;Masculino;71 a 80;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;81 a 90;A-Condutor Moto;15
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AB-Condutor Moto/Carro;886
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AC-Condutor Moto/Caminhão;25
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AD-Condutor Moto/Ônibus;221
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AE-Condutor Moto/Carreta;7
Centro-Oeste;Distrito Federal;Masculino;81 a 90;B-Condutor Carro;16.285
Centro-Oeste;Distrito Federal;Masculino;81 a 90;C-Condutor Caminhão;356
Centro-Oeste;Distrito Federal;Masculino;81 a 90;D-Condutor Ônibus;2.628
Centro-Oeste;Distrito Federal;Masculino;81 a 90;E-Condutor Carreta;92
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AB-Condutor Moto/Carro;159
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AC-Condutor Moto/Caminhão;4
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AD-Condutor Moto/Ônibus;28
Centro-Oeste;Distrito Federal;Masculino;91 a 100;B-Condutor Carro;5.145
Centro-Oeste;Distrito Federal;Masculino;91 a 100;C-Condutor Caminhão;53
Centro-Oeste;Distrito Federal;Masculino;91 a 100;D-Condutor Ônibus;414
Centro-Oeste;Distrito Federal;Masculino;91 a 100;E-Condutor Carreta;2
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AB-Condutor Moto/Carro;15
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Distrito Federal;Masculino;101 a 120;B-Condutor Carro;581
Centro-Oeste;Distrito Federal;Masculino;101 a 120;D-Condutor Ônibus;18
Centro-Oeste;Distrito Federal;Feminino;18 a 21;A-Condutor Moto;40
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AB-Condutor Moto/Carro;1.857
Centro-Oeste;Distrito Federal;Feminino;18 a 21;B-Condutor Carro;13.321
Centro-Oeste;Distrito Federal;Feminino;22 a 25;A-Condutor Moto;227
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AB-Condutor Moto/Carro;5.737
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AD-Condutor Moto/Ônibus;12
Centro-Oeste;Distrito Federal;Feminino;22 a 25;B-Condutor Carro;38.113
Centro-Oeste;Distrito Federal;Feminino;22 a 25;D-Condutor Ônibus;25
Centro-Oeste;Distrito Federal;Feminino;26 a 30;A-Condutor Moto;466
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AB-Condutor Moto/Carro;10.665
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AD-Condutor Moto/Ônibus;119
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AE-Condutor Moto/Carreta;2
Centro-Oeste;Distrito Federal;Feminino;26 a 30;B-Condutor Carro;63.014
Centro-Oeste;Distrito Federal;Feminino;26 a 30;D-Condutor Ônibus;198
Centro-Oeste;Distrito Federal;Feminino;31 a 40;A-Condutor Moto;1.085
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AB-Condutor Moto/Carro;23.215
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AC-Condutor Moto/Caminhão;2
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AD-Condutor Moto/Ônibus;656
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AE-Condutor Moto/Carreta;47
Centro-Oeste;Distrito Federal;Feminino;31 a 40;B-Condutor Carro;168.777
Centro-Oeste;Distrito Federal;Feminino;31 a 40;C-Condutor Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;31 a 40;D-Condutor Ônibus;1.059
Centro-Oeste;Distrito Federal;Feminino;31 a 40;E-Condutor Carreta;10
Centro-Oeste;Distrito Federal;Feminino;41 a 50;A-Condutor Moto;530
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AB-Condutor Moto/Carro;10.571
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AC-Condutor Moto/Caminhão;32
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AD-Condutor Moto/Ônibus;676
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AE-Condutor Moto/Carreta;45
Centro-Oeste;Distrito Federal;Feminino;41 a 50;B-Condutor Carro;144.538
Centro-Oeste;Distrito Federal;Feminino;41 a 50;C-Condutor Caminhão;44
Centro-Oeste;Distrito Federal;Feminino;41 a 50;D-Condutor Ônibus;1.583
Centro-Oeste;Distrito Federal;Feminino;41 a 50;E-Condutor Carreta;35
Centro-Oeste;Distrito Federal;Feminino;41 a 50;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Feminino;51 a 60;A-Condutor Moto;126
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AB-Condutor Moto/Carro;3.962
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AC-Condutor Moto/Caminhão;56
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AD-Condutor Moto/Ônibus;300
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AE-Condutor Moto/Carreta;22
Centro-Oeste;Distrito Federal;Feminino;51 a 60;B-Condutor Carro;94.044
Centro-Oeste;Distrito Federal;Feminino;51 a 60;C-Condutor Caminhão;150
Centro-Oeste;Distrito Federal;Feminino;51 a 60;D-Condutor Ônibus;1.185
Centro-Oeste;Distrito Federal;Feminino;51 a 60;E-Condutor Carreta;18
Centro-Oeste;Distrito Federal;Feminino;61 a 70;A-Condutor Moto;12
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AB-Condutor Moto/Carro;1.012
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AC-Condutor Moto/Caminhão;11
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AD-Condutor Moto/Ônibus;47
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AE-Condutor Moto/Carreta;5
Centro-Oeste;Distrito Federal;Feminino;61 a 70;B-Condutor Carro;54.004
Centro-Oeste;Distrito Federal;Feminino;61 a 70;C-Condutor Caminhão;55
Centro-Oeste;Distrito Federal;Feminino;61 a 70;D-Condutor Ônibus;434
Centro-Oeste;Distrito Federal;Feminino;61 a 70;E-Condutor Carreta;5
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AB-Condutor Moto/Carro;105
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AD-Condutor Moto/Ônibus;5
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Feminino;71 a 80;B-Condutor Carro;23.096
Centro-Oeste;Distrito Federal;Feminino;71 a 80;C-Condutor Caminhão;12
Centro-Oeste;Distrito Federal;Feminino;71 a 80;D-Condutor Ônibus;90
Centro-Oeste;Distrito Federal;Feminino;81 a 90;AB-Condutor Moto/Carro;11
Centro-Oeste;Distrito Federal;Feminino;81 a 90;B-Condutor Carro;6.864
Centro-Oeste;Distrito Federal;Feminino;81 a 90;C-Condutor Caminhão;4
Centro-Oeste;Distrito Federal;Feminino;81 a 90;D-Condutor Ônibus;20
Centro-Oeste;Distrito Federal;Feminino;91 a 100;AB-Condutor Moto/Carro;2
Centro-Oeste;Distrito Federal;Feminino;91 a 100;B-Condutor Carro;1.238
Centro-Oeste;Distrito Federal;Feminino;101 a 120;B-Condutor Carro;69
Centro-Oeste;Distrito Federal;Feminino;101 a 120;E-Condutor Carreta;1
Centro-Oeste;Goiás;Masculino;18 a 21;A-Condutor Moto;1.448
Centro-Oeste;Goiás;Masculino;18 a 21;AB-Condutor Moto/Carro;42.761
Centro-Oeste;Goiás;Masculino;18 a 21;AC-Condutor Moto/Caminhão;183
Centro-Oeste;Goiás;Masculino;18 a 21;AD-Condutor Moto/Ônibus;133
Centro-Oeste;Goiás;Masculino;18 a 21;AE-Condutor Moto/Carreta;10
Centro-Oeste;Goiás;Masculino;18 a 21;B-Condutor Carro;13.583
Centro-Oeste;Goiás;Masculino;18 a 21;C-Condutor Caminhão;26
Centro-Oeste;Goiás;Masculino;18 a 21;D-Condutor Ônibus;9
Centro-Oeste;Goiás;Masculino;18 a 21;E-Condutor Carreta;2
Centro-Oeste;Goiás;Masculino;22 a 25;A-Condutor Moto;5.262
Centro-Oeste;Goiás;Masculino;22 a 25;AB-Condutor Moto/Carro;94.010
Centro-Oeste;Goiás;Masculino;22 a 25;AC-Condutor Moto/Caminhão;462
Centro-Oeste;Goiás;Masculino;22 a 25;AD-Condutor Moto/Ônibus;3.789
Centro-Oeste;Goiás;Masculino;22 a 25;AE-Condutor Moto/Carreta;615
Centro-Oeste;Goiás;Masculino;22 a 25;B-Condutor Carro;26.557
Centro-Oeste;Goiás;Masculino;22 a 25;C-Condutor Caminhão;54
Centro-Oeste;Goiás;Masculino;22 a 25;D-Condutor Ônibus;292
Centro-Oeste;Goiás;Masculino;22 a 25;E-Condutor Carreta;60
Centro-Oeste;Goiás;Masculino;26 a 30;A-Condutor Moto;10.072
Centro-Oeste;Goiás;Masculino;26 a 30;AB-Condutor Moto/Carro;132.176
Centro-Oeste;Goiás;Masculino;26 a 30;AC-Condutor Moto/Caminhão;1.215
Centro-Oeste;Goiás;Masculino;26 a 30;AD-Condutor Moto/Ônibus;14.433
Centro-Oeste;Goiás;Masculino;26 a 30;AE-Condutor Moto/Carreta;4.175
Centro-Oeste;Goiás;Masculino;26 a 30;B-Condutor Carro;32.567
Centro-Oeste;Goiás;Masculino;26 a 30;C-Condutor Caminhão;108
Centro-Oeste;Goiás;Masculino;26 a 30;D-Condutor Ônibus;982
Centro-Oeste;Goiás;Masculino;26 a 30;E-Condutor Carreta;215
Centro-Oeste;Goiás;Masculino;31 a 40;A-Condutor Moto;21.855
Centro-Oeste;Goiás;Masculino;31 a 40;AB-Condutor Moto/Carro;250.494
Centro-Oeste;Goiás;Masculino;31 a 40;AC-Condutor Moto/Caminhão;3.022
Centro-Oeste;Goiás;Masculino;31 a 40;AD-Condutor Moto/Ônibus;57.396
Centro-Oeste;Goiás;Masculino;31 a 40;AE-Condutor Moto/Carreta;23.255
Centro-Oeste;Goiás;Masculino;31 a 40;B-Condutor Carro;72.401
Centro-Oeste;Goiás;Masculino;31 a 40;C-Condutor Caminhão;571
Centro-Oeste;Goiás;Masculino;31 a 40;D-Condutor Ônibus;6.828
Centro-Oeste;Goiás;Masculino;31 a 40;E-Condutor Carreta;2.602
Centro-Oeste;Goiás;Masculino;41 a 50;A-Condutor Moto;14.814
Centro-Oeste;Goiás;Masculino;41 a 50;AB-Condutor Moto/Carro;161.033
Centro-Oeste;Goiás;Masculino;41 a 50;AC-Condutor Moto/Caminhão;9.117
Centro-Oeste;Goiás;Masculino;41 a 50;AD-Condutor Moto/Ônibus;50.863
Centro-Oeste;Goiás;Masculino;41 a 50;AE-Condutor Moto/Carreta;23.136
Centro-Oeste;Goiás;Masculino;41 a 50;B-Condutor Carro;78.781
Centro-Oeste;Goiás;Masculino;41 a 50;C-Condutor Caminhão;3.839
Centro-Oeste;Goiás;Masculino;41 a 50;D-Condutor Ônibus;15.432
Centro-Oeste;Goiás;Masculino;41 a 50;E-Condutor Carreta;7.585
Centro-Oeste;Goiás;Masculino;51 a 60;A-Condutor Moto;9.393
Centro-Oeste;Goiás;Masculino;51 a 60;AB-Condutor Moto/Carro;88.706
Centro-Oeste;Goiás;Masculino;51 a 60;AC-Condutor Moto/Caminhão;13.250
Centro-Oeste;Goiás;Masculino;51 a 60;AD-Condutor Moto/Ônibus;33.409
Centro-Oeste;Goiás;Masculino;51 a 60;AE-Condutor Moto/Carreta;11.659
Centro-Oeste;Goiás;Masculino;51 a 60;B-Condutor Carro;74.491
Centro-Oeste;Goiás;Masculino;51 a 60;C-Condutor Caminhão;9.497
Centro-Oeste;Goiás;Masculino;51 a 60;D-Condutor Ônibus;21.758
Centro-Oeste;Goiás;Masculino;51 a 60;E-Condutor Carreta;7.768
Centro-Oeste;Goiás;Masculino;51 a 60;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Goiás;Masculino;61 a 70;A-Condutor Moto;3.901
Centro-Oeste;Goiás;Masculino;61 a 70;AB-Condutor Moto/Carro;35.419
Centro-Oeste;Goiás;Masculino;61 a 70;AC-Condutor Moto/Caminhão;7.029
Centro-Oeste;Goiás;Masculino;61 a 70;AD-Condutor Moto/Ônibus;12.852
Centro-Oeste;Goiás;Masculino;61 a 70;AE-Condutor Moto/Carreta;3.790
Centro-Oeste;Goiás;Masculino;61 a 70;B-Condutor Carro;66.595
Centro-Oeste;Goiás;Masculino;61 a 70;C-Condutor Caminhão;12.759
Centro-Oeste;Goiás;Masculino;61 a 70;D-Condutor Ônibus;19.271
Centro-Oeste;Goiás;Masculino;61 a 70;E-Condutor Carreta;5.934
Centro-Oeste;Goiás;Masculino;71 a 80;A-Condutor Moto;1.244
Centro-Oeste;Goiás;Masculino;71 a 80;AB-Condutor Moto/Carro;12.503
Centro-Oeste;Goiás;Masculino;71 a 80;AC-Condutor Moto/Caminhão;1.461
Centro-Oeste;Goiás;Masculino;71 a 80;AD-Condutor Moto/Ônibus;2.535
Centro-Oeste;Goiás;Masculino;71 a 80;AE-Condutor Moto/Carreta;378
Centro-Oeste;Goiás;Masculino;71 a 80;B-Condutor Carro;46.476
Centro-Oeste;Goiás;Masculino;71 a 80;C-Condutor Caminhão;5.850
Centro-Oeste;Goiás;Masculino;71 a 80;D-Condutor Ônibus;7.979
Centro-Oeste;Goiás;Masculino;71 a 80;E-Condutor Carreta;1.381
Centro-Oeste;Goiás;Masculino;81 a 90;A-Condutor Moto;296
Centro-Oeste;Goiás;Masculino;81 a 90;AB-Condutor Moto/Carro;3.019
Centro-Oeste;Goiás;Masculino;81 a 90;AC-Condutor Moto/Caminhão;240
Centro-Oeste;Goiás;Masculino;81 a 90;AD-Condutor Moto/Ônibus;451
Centro-Oeste;Goiás;Masculino;81 a 90;AE-Condutor Moto/Carreta;23
Centro-Oeste;Goiás;Masculino;81 a 90;B-Condutor Carro;21.759
Centro-Oeste;Goiás;Masculino;81 a 90;C-Condutor Caminhão;2.181
Centro-Oeste;Goiás;Masculino;81 a 90;D-Condutor Ônibus;2.962
Centro-Oeste;Goiás;Masculino;81 a 90;E-Condutor Carreta;214
Centro-Oeste;Goiás;Masculino;91 a 100;A-Condutor Moto;22
Centro-Oeste;Goiás;Masculino;91 a 100;AB-Condutor Moto/Carro;373
Centro-Oeste;Goiás;Masculino;91 a 100;AC-Condutor Moto/Caminhão;19
Centro-Oeste;Goiás;Masculino;91 a 100;AD-Condutor Moto/Ônibus;24
Centro-Oeste;Goiás;Masculino;91 a 100;B-Condutor Carro;6.747
Centro-Oeste;Goiás;Masculino;91 a 100;C-Condutor Caminhão;257
Centro-Oeste;Goiás;Masculino;91 a 100;D-Condutor Ônibus;359
Centro-Oeste;Goiás;Masculino;91 a 100;E-Condutor Carreta;14
Centro-Oeste;Goiás;Masculino;101 a 120;A-Condutor Moto;1
Centro-Oeste;Goiás;Masculino;101 a 120;AB-Condutor Moto/Carro;17
Centro-Oeste;Goiás;Masculino;101 a 120;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Goiás;Masculino;101 a 120;B-Condutor Carro;669
Centro-Oeste;Goiás;Masculino;101 a 120;C-Condutor Caminhão;5
Centro-Oeste;Goiás;Masculino;101 a 120;D-Condutor Ônibus;14
Centro-Oeste;Goiás;Feminino;18 a 21;A-Condutor Moto;609
Centro-Oeste;Goiás;Feminino;18 a 21;AB-Condutor Moto/Carro;15.733
Centro-Oeste;Goiás;Feminino;18 a 21;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Goiás;Feminino;18 a 21;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Goiás;Feminino;18 a 21;B-Condutor Carro;14.585
Centro-Oeste;Goiás;Feminino;22 a 25;A-Condutor Moto;3.026
Centro-Oeste;Goiás;Feminino;22 a 25;AB-Condutor Moto/Carro;42.889
Centro-Oeste;Goiás;Feminino;22 a 25;AC-Condutor Moto/Caminhão;11
Centro-Oeste;Goiás;Feminino;22 a 25;AD-Condutor Moto/Ônibus;104
Centro-Oeste;Goiás;Feminino;22 a 25;AE-Condutor Moto/Carreta;3
Centro-Oeste;Goiás;Feminino;22 a 25;B-Condutor Carro;33.447
Centro-Oeste;Goiás;Feminino;22 a 25;D-Condutor Ônibus;16
Centro-Oeste;Goiás;Feminino;22 a 25;E-Condutor Carreta;1
Centro-Oeste;Goiás;Feminino;26 a 30;A-Condutor Moto;6.999
Centro-Oeste;Goiás;Feminino;26 a 30;AB-Condutor Moto/Carro;70.110
Centro-Oeste;Goiás;Feminino;26 a 30;AC-Condutor Moto/Caminhão;22
Centro-Oeste;Goiás;Feminino;26 a 30;AD-Condutor Moto/Ônibus;576
Centro-Oeste;Goiás;Feminino;26 a 30;AE-Condutor Moto/Carreta;70
Centro-Oeste;Goiás;Feminino;26 a 30;B-Condutor Carro;49.824
Centro-Oeste;Goiás;Feminino;26 a 30;C-Condutor Caminhão;9
Centro-Oeste;Goiás;Feminino;26 a 30;D-Condutor Ônibus;72
Centro-Oeste;Goiás;Feminino;26 a 30;E-Condutor Carreta;1
Centro-Oeste;Goiás;Feminino;31 a 40;A-Condutor Moto;17.722
Centro-Oeste;Goiás;Feminino;31 a 40;AB-Condutor Moto/Carro;142.123
Centro-Oeste;Goiás;Feminino;31 a 40;AC-Condutor Moto/Caminhão;75
Centro-Oeste;Goiás;Feminino;31 a 40;AD-Condutor Moto/Ônibus;2.436
Centro-Oeste;Goiás;Feminino;31 a 40;AE-Condutor Moto/Carreta;328
Centro-Oeste;Goiás;Feminino;31 a 40;B-Condutor Carro;125.961
Centro-Oeste;Goiás;Feminino;31 a 40;C-Condutor Caminhão;30
Centro-Oeste;Goiás;Feminino;31 a 40;D-Condutor Ônibus;575
Centro-Oeste;Goiás;Feminino;31 a 40;E-Condutor Carreta;33
Centro-Oeste;Goiás;Feminino;41 a 50;A-Condutor Moto;13.658
Centro-Oeste;Goiás;Feminino;41 a 50;AB-Condutor Moto/Carro;75.888
Centro-Oeste;Goiás;Feminino;41 a 50;AC-Condutor Moto/Caminhão;133
Centro-Oeste;Goiás;Feminino;41 a 50;AD-Condutor Moto/Ônibus;1.774
Centro-Oeste;Goiás;Feminino;41 a 50;AE-Condutor Moto/Carreta;304
Centro-Oeste;Goiás;Feminino;41 a 50;B-Condutor Carro;122.138
Centro-Oeste;Goiás;Feminino;41 a 50;C-Condutor Caminhão;77
Centro-Oeste;Goiás;Feminino;41 a 50;D-Condutor Ônibus;957
Centro-Oeste;Goiás;Feminino;41 a 50;E-Condutor Carreta;68
Centro-Oeste;Goiás;Feminino;51 a 60;A-Condutor Moto;5.540
Centro-Oeste;Goiás;Feminino;51 a 60;AB-Condutor Moto/Carro;23.946
Centro-Oeste;Goiás;Feminino;51 a 60;AC-Condutor Moto/Caminhão;159
Centro-Oeste;Goiás;Feminino;51 a 60;AD-Condutor Moto/Ônibus;567
Centro-Oeste;Goiás;Feminino;51 a 60;AE-Condutor Moto/Carreta;90
Centro-Oeste;Goiás;Feminino;51 a 60;B-Condutor Carro;94.558
Centro-Oeste;Goiás;Feminino;51 a 60;C-Condutor Caminhão;246
Centro-Oeste;Goiás;Feminino;51 a 60;D-Condutor Ônibus;867
Centro-Oeste;Goiás;Feminino;51 a 60;E-Condutor Carreta;65
Centro-Oeste;Goiás;Feminino;61 a 70;A-Condutor Moto;932
Centro-Oeste;Goiás;Feminino;61 a 70;AB-Condutor Moto/Carro;3.598
Centro-Oeste;Goiás;Feminino;61 a 70;AC-Condutor Moto/Caminhão;35
Centro-Oeste;Goiás;Feminino;61 a 70;AD-Condutor Moto/Ônibus;90
Centro-Oeste;Goiás;Feminino;61 a 70;AE-Condutor Moto/Carreta;18
Centro-Oeste;Goiás;Feminino;61 a 70;B-Condutor Carro;54.697
Centro-Oeste;Goiás;Feminino;61 a 70;C-Condutor Caminhão;162
Centro-Oeste;Goiás;Feminino;61 a 70;D-Condutor Ônibus;327
Centro-Oeste;Goiás;Feminino;61 a 70;E-Condutor Carreta;16
Centro-Oeste;Goiás;Feminino;71 a 80;A-Condutor Moto;88
Centro-Oeste;Goiás;Feminino;71 a 80;AB-Condutor Moto/Carro;353
Centro-Oeste;Goiás;Feminino;71 a 80;AC-Condutor Moto/Caminhão;8
Centro-Oeste;Goiás;Feminino;71 a 80;AD-Condutor Moto/Ônibus;15
Centro-Oeste;Goiás;Feminino;71 a 80;AE-Condutor Moto/Carreta;2
Centro-Oeste;Goiás;Feminino;71 a 80;B-Condutor Carro;20.132
