UF;Cod_Infração;Quantidade
BAHIA;5282;3
BAHIA;5312;1
BAHIA;5320;2
BAHIA;5347;1
BAHIA;5355;2
BAHIA;5371;1
BAHIA;5380;36
BAHIA;5398;1
BAHIA;5410;19
BAHIA;5428;105
BAHIA;5436;3
BAHIA;5444;91
BAHIA;5452;210
BAHIA;5460;17
BAHIA;5479;61
BAHIA;5487;28
BAHIA;5509;84
BAHIA;5525;20
BAHIA;5541;271
BAHIA;5550;109
BAHIA;5568;100
BAHIA;5576;1
BAHIA;5584;2
BAHIA;5592;1
BAHIA;5614;13
BAHIA;5622;9
BAHIA;5665;5
BAHIA;5673;5
BAHIA;5681;60
BAHIA;5690;1
BAHIA;5703;1
BAHIA;5720;53
BAHIA;5738;160
BAHIA;5746;98
BAHIA;5770;2
BAHIA;5789;1
BAHIA;5797;49
BAHIA;5800;2
BAHIA;5819;116
BAHIA;5827;3
BAHIA;5835;180
BAHIA;5843;4
BAHIA;5878;10
BAHIA;5908;32
BAHIA;5924;20
BAHIA;5940;22
BAHIA;5959;5
BAHIA;5967;465
BAHIA;5975;19
BAHIA;5991;39
BAHIA;6009;1
BAHIA;6017;12
BAHIA;6025;4
BAHIA;6033;84
BAHIA;6041;131
BAHIA;6050;200
BAHIA;6068;2172
BAHIA;6076;20
BAHIA;6084;5
BAHIA;6122;26
BAHIA;6165;1
BAHIA;6203;1
BAHIA;6270;91
BAHIA;6327;1
BAHIA;6408;17
BAHIA;6432;6
BAHIA;6459;1
BAHIA;6483;10
BAHIA;6491;2
BAHIA;6530;8
BAHIA;6556;64
BAHIA;6564;97
BAHIA;6572;1
BAHIA;6580;57
BAHIA;6599;2116
BAHIA;6602;114
BAHIA;6610;73
BAHIA;6629;7
BAHIA;6637;292
BAHIA;6645;358
BAHIA;6653;8
BAHIA;6661;7
BAHIA;6670;50
BAHIA;6688;32
BAHIA;6696;1
BAHIA;6700;292
BAHIA;6726;381
BAHIA;6750;79
BAHIA;6769;826
BAHIA;6785;7
BAHIA;6815;2
BAHIA;6823;62
BAHIA;6831;45
BAHIA;6840;14
BAHIA;6858;188
BAHIA;6866;198
BAHIA;6912;573
BAHIA;6947;10
BAHIA;6955;6
BAHIA;6971;1
BAHIA;6980;60
BAHIA;7030;176
BAHIA;7048;140
BAHIA;7056;2
BAHIA;7064;26
BAHIA;7072;1
BAHIA;7099;2
BAHIA;7102;2
BAHIA;7218;219
BAHIA;7234;12
BAHIA;7242;3872
BAHIA;7269;2
BAHIA;7277;13
BAHIA;7285;9
BAHIA;7293;1
BAHIA;7315;7
BAHIA;7323;6
BAHIA;7340;606
BAHIA;7358;6
BAHIA;7366;247
BAHIA;7374;6
BAHIA;7455;16516
BAHIA;7463;2618
BAHIA;7471;179
BAHIA;7560;1
BAHIA;7579;49
BAHIA;7587;22
BAHIA;7625;14
BAHIA;7633;388
CEARA;5010;11
CEARA;5045;3
CEARA;5053;2
CEARA;5118;1
CEARA;5169;1
CEARA;5185;30
CEARA;5193;2
CEARA;5231;1
CEARA;5258;4
CEARA;5274;1
CEARA;5380;7
CEARA;5410;6
CEARA;5428;3
CEARA;5444;15
CEARA;5452;18
CEARA;5460;3
CEARA;5479;10
CEARA;5487;13
CEARA;5509;4
CEARA;5525;2
CEARA;5541;41
CEARA;5550;43
CEARA;5568;4
CEARA;5614;1
CEARA;5622;4
CEARA;5657;2
CEARA;5673;12
CEARA;5681;3
CEARA;5720;5
CEARA;5738;10
CEARA;5746;12
CEARA;5819;13
CEARA;5835;8
CEARA;5843;1
CEARA;5851;1
CEARA;5878;1
CEARA;5932;1
CEARA;5967;6
CEARA;5991;1
CEARA;6017;1
CEARA;6033;2
CEARA;6041;3
CEARA;6050;61
CEARA;6068;18
CEARA;6122;1
CEARA;6564;3
CEARA;6599;14
CEARA;6610;1
CEARA;6637;8
CEARA;6645;3
CEARA;6653;1
CEARA;6670;1
CEARA;6688;1
CEARA;6700;8
CEARA;6726;3
CEARA;6750;1
CEARA;6769;8
CEARA;6823;1
CEARA;6831;1
CEARA;6858;2
CEARA;6912;2
CEARA;6947;1
CEARA;6980;1
CEARA;7030;58
CEARA;7048;71
CEARA;7064;1
CEARA;7072;1
CEARA;7099;1
CEARA;7218;2
CEARA;7234;4
CEARA;7242;22
CEARA;7340;2
CEARA;7366;3
CEARA;7455;147
CEARA;7463;16
CEARA;7471;1
CEARA;7579;3
CEARA;7587;1
CEARA;7625;15
CEARA;7633;24
DISTRITO FEDERAL;5010;954
DISTRITO FEDERAL;5029;79
DISTRITO FEDERAL;5037;65
DISTRITO FEDERAL;5045;718
DISTRITO FEDERAL;5053;4
DISTRITO FEDERAL;5061;32
DISTRITO FEDERAL;5088;1
DISTRITO FEDERAL;5096;4
DISTRITO FEDERAL;5100;1
DISTRITO FEDERAL;5118;39
DISTRITO FEDERAL;5142;5
DISTRITO FEDERAL;5169;40
DISTRITO FEDERAL;5177;2
DISTRITO FEDERAL;5185;7729
DISTRITO FEDERAL;5193;304
DISTRITO FEDERAL;5207;416
DISTRITO FEDERAL;5231;20
DISTRITO FEDERAL;5274;3
DISTRITO FEDERAL;5347;2
DISTRITO FEDERAL;5371;4
DISTRITO FEDERAL;5380;358
DISTRITO FEDERAL;5398;10
DISTRITO FEDERAL;5401;43
DISTRITO FEDERAL;5410;2683
DISTRITO FEDERAL;5428;44
DISTRITO FEDERAL;5436;7
DISTRITO FEDERAL;5444;36
DISTRITO FEDERAL;5452;4412
DISTRITO FEDERAL;5460;74
DISTRITO FEDERAL;5479;2073
DISTRITO FEDERAL;5487;171
DISTRITO FEDERAL;5495;69
DISTRITO FEDERAL;5509;182
DISTRITO FEDERAL;5517;4
DISTRITO FEDERAL;5525;365
DISTRITO FEDERAL;5541;782
DISTRITO FEDERAL;5550;5113
DISTRITO FEDERAL;5568;2305
DISTRITO FEDERAL;5576;4
DISTRITO FEDERAL;5592;6
DISTRITO FEDERAL;5606;17
DISTRITO FEDERAL;5614;6
DISTRITO FEDERAL;5622;45
DISTRITO FEDERAL;5630;19
DISTRITO FEDERAL;5649;1
DISTRITO FEDERAL;5657;1
DISTRITO FEDERAL;5665;44
DISTRITO FEDERAL;5673;11
DISTRITO FEDERAL;5681;1905
DISTRITO FEDERAL;5690;121
DISTRITO FEDERAL;5703;7
DISTRITO FEDERAL;5711;11
DISTRITO FEDERAL;5720;316
DISTRITO FEDERAL;5738;563
DISTRITO FEDERAL;5746;139
DISTRITO FEDERAL;5762;1
DISTRITO FEDERAL;5770;48
DISTRITO FEDERAL;5797;4
DISTRITO FEDERAL;5800;42
DISTRITO FEDERAL;5819;1036
DISTRITO FEDERAL;5827;21
DISTRITO FEDERAL;5835;155
DISTRITO FEDERAL;5843;929
DISTRITO FEDERAL;5851;189
DISTRITO FEDERAL;5860;42
DISTRITO FEDERAL;5878;36
DISTRITO FEDERAL;5886;1
DISTRITO FEDERAL;5908;24
DISTRITO FEDERAL;5924;2
DISTRITO FEDERAL;5932;2
DISTRITO FEDERAL;5959;48
DISTRITO FEDERAL;5967;92
DISTRITO FEDERAL;5975;3
DISTRITO FEDERAL;5991;106
DISTRITO FEDERAL;6017;24
DISTRITO FEDERAL;6025;16
DISTRITO FEDERAL;6033;21
DISTRITO FEDERAL;6041;256
DISTRITO FEDERAL;6050;715
DISTRITO FEDERAL;6068;50
DISTRITO FEDERAL;6076;4
DISTRITO FEDERAL;6084;28
DISTRITO FEDERAL;6122;1561
DISTRITO FEDERAL;6130;59
DISTRITO FEDERAL;6149;2
DISTRITO FEDERAL;6157;1
DISTRITO FEDERAL;6165;1
DISTRITO FEDERAL;6173;14
DISTRITO FEDERAL;6181;19
DISTRITO FEDERAL;6190;1
DISTRITO FEDERAL;6262;2
DISTRITO FEDERAL;6270;11
DISTRITO FEDERAL;6319;4
DISTRITO FEDERAL;6386;3
DISTRITO FEDERAL;6394;14
DISTRITO FEDERAL;6408;15
DISTRITO FEDERAL;6432;12
DISTRITO FEDERAL;6440;10
DISTRITO FEDERAL;6459;3
DISTRITO FEDERAL;6483;15
DISTRITO FEDERAL;6491;8
DISTRITO FEDERAL;6505;1
DISTRITO FEDERAL;6521;1
DISTRITO FEDERAL;6530;332
DISTRITO FEDERAL;6548;7
DISTRITO FEDERAL;6556;51
DISTRITO FEDERAL;6564;6
DISTRITO FEDERAL;6580;42
DISTRITO FEDERAL;6599;2551
DISTRITO FEDERAL;6602;111
DISTRITO FEDERAL;6610;295
DISTRITO FEDERAL;6629;2
DISTRITO FEDERAL;6637;297
DISTRITO FEDERAL;6645;18
DISTRITO FEDERAL;6653;195
DISTRITO FEDERAL;6661;3
DISTRITO FEDERAL;6670;70
DISTRITO FEDERAL;6688;7
DISTRITO FEDERAL;6696;1
DISTRITO FEDERAL;6700;185
DISTRITO FEDERAL;6726;128
DISTRITO FEDERAL;6742;12
DISTRITO FEDERAL;6750;1
DISTRITO FEDERAL;6769;1303
DISTRITO FEDERAL;6785;2
DISTRITO FEDERAL;6815;2
DISTRITO FEDERAL;6823;4
DISTRITO FEDERAL;6858;188
DISTRITO FEDERAL;6866;806
DISTRITO FEDERAL;6912;354
DISTRITO FEDERAL;6920;521
DISTRITO FEDERAL;6939;3
DISTRITO FEDERAL;6947;4
DISTRITO FEDERAL;6963;1
DISTRITO FEDERAL;6971;9
DISTRITO FEDERAL;6980;33
DISTRITO FEDERAL;7030;1
DISTRITO FEDERAL;7064;2
DISTRITO FEDERAL;7099;2
DISTRITO FEDERAL;7102;7
DISTRITO FEDERAL;7218;13
DISTRITO FEDERAL;7234;369
DISTRITO FEDERAL;7242;109
DISTRITO FEDERAL;7269;1
DISTRITO FEDERAL;7277;3
DISTRITO FEDERAL;7285;55
DISTRITO FEDERAL;7293;3
DISTRITO FEDERAL;7315;26
DISTRITO FEDERAL;7323;12
DISTRITO FEDERAL;7331;2
DISTRITO FEDERAL;7340;122
DISTRITO FEDERAL;7358;49
DISTRITO FEDERAL;7366;872
DISTRITO FEDERAL;7374;11
DISTRITO FEDERAL;7455;8070
DISTRITO FEDERAL;7463;526
DISTRITO FEDERAL;7471;65
DISTRITO FEDERAL;7579;3099
DISTRITO FEDERAL;7587;141
DISTRITO FEDERAL;7625;719
DISTRITO FEDERAL;7633;4618
ESPIRITO SANTO;5010;15
ESPIRITO SANTO;5029;2
ESPIRITO SANTO;5037;2
ESPIRITO SANTO;5045;5
ESPIRITO SANTO;5061;3
ESPIRITO SANTO;5118;2
ESPIRITO SANTO;5142;1
ESPIRITO SANTO;5169;5
ESPIRITO SANTO;5177;1
ESPIRITO SANTO;5185;32
ESPIRITO SANTO;5193;3
ESPIRITO SANTO;5207;1
ESPIRITO SANTO;5231;1
ESPIRITO SANTO;5274;1
ESPIRITO SANTO;5320;1
ESPIRITO SANTO;5380;3
ESPIRITO SANTO;5410;1
ESPIRITO SANTO;5428;1
ESPIRITO SANTO;5444;1
ESPIRITO SANTO;5452;18
ESPIRITO SANTO;5460;3
ESPIRITO SANTO;5479;7
ESPIRITO SANTO;5487;6
ESPIRITO SANTO;5509;2
ESPIRITO SANTO;5525;6
ESPIRITO SANTO;5541;32
ESPIRITO SANTO;5550;31
ESPIRITO SANTO;5568;6
ESPIRITO SANTO;5576;1
ESPIRITO SANTO;5622;3
ESPIRITO SANTO;5665;2
ESPIRITO SANTO;5673;2
ESPIRITO SANTO;5720;2
ESPIRITO SANTO;5738;5
ESPIRITO SANTO;5746;104
ESPIRITO SANTO;5819;3
ESPIRITO SANTO;5835;2
ESPIRITO SANTO;5851;1
ESPIRITO SANTO;5878;1
ESPIRITO SANTO;5924;1
ESPIRITO SANTO;5932;1
ESPIRITO SANTO;5940;1
ESPIRITO SANTO;5967;8
ESPIRITO SANTO;5975;1
ESPIRITO SANTO;6041;2
ESPIRITO SANTO;6050;28
ESPIRITO SANTO;6068;21
ESPIRITO SANTO;6076;1
ESPIRITO SANTO;6270;1
ESPIRITO SANTO;6408;1
ESPIRITO SANTO;6483;1
ESPIRITO SANTO;6530;2
ESPIRITO SANTO;6564;3
ESPIRITO SANTO;6580;1
ESPIRITO SANTO;6599;17
ESPIRITO SANTO;6602;1
ESPIRITO SANTO;6610;1
ESPIRITO SANTO;6629;1
ESPIRITO SANTO;6637;11
ESPIRITO SANTO;6645;23
ESPIRITO SANTO;6653;1
ESPIRITO SANTO;6688;1
ESPIRITO SANTO;6700;15
ESPIRITO SANTO;6726;3
ESPIRITO SANTO;6750;5
ESPIRITO SANTO;6769;12
ESPIRITO SANTO;6823;4
ESPIRITO SANTO;6831;58
ESPIRITO SANTO;6858;3
ESPIRITO SANTO;6866;1
ESPIRITO SANTO;6912;10
ESPIRITO SANTO;6963;1
ESPIRITO SANTO;6980;5
ESPIRITO SANTO;7030;2
ESPIRITO SANTO;7048;4
ESPIRITO SANTO;7056;1
ESPIRITO SANTO;7242;60
ESPIRITO SANTO;7277;3
ESPIRITO SANTO;7340;1
ESPIRITO SANTO;7366;5
ESPIRITO SANTO;7374;1
ESPIRITO SANTO;7455;282
ESPIRITO SANTO;7463;54
ESPIRITO SANTO;7471;2
ESPIRITO SANTO;7579;20
ESPIRITO SANTO;7587;3
ESPIRITO SANTO;7625;4
ESPIRITO SANTO;7633;26
GOIAS;5010;120
GOIAS;5029;1
GOIAS;5037;10
GOIAS;5045;35
GOIAS;5053;2
GOIAS;5061;7
GOIAS;5118;1
GOIAS;5169;1
GOIAS;5185;631
GOIAS;5193;18
GOIAS;5207;54
GOIAS;5380;30
GOIAS;5398;3
GOIAS;5401;1
GOIAS;5410;160
GOIAS;5428;1
GOIAS;5436;1
GOIAS;5444;2
GOIAS;5452;263
GOIAS;5460;5
GOIAS;5479;102
GOIAS;5487;14
GOIAS;5495;3
GOIAS;5509;14
GOIAS;5525;20
GOIAS;5541;67
GOIAS;5550;306
GOIAS;5568;132
GOIAS;5592;1
GOIAS;5606;2
GOIAS;5614;3
GOIAS;5622;6
GOIAS;5630;2
GOIAS;5665;2
GOIAS;5673;4
GOIAS;5681;133
GOIAS;5690;1
GOIAS;5711;3
GOIAS;5720;21
GOIAS;5738;36
GOIAS;5746;67
GOIAS;5770;4
GOIAS;5797;1
GOIAS;5800;3
GOIAS;5819;50
GOIAS;5827;1
GOIAS;5835;14
GOIAS;5843;43
GOIAS;5851;11
GOIAS;5860;4
GOIAS;5878;1
GOIAS;5908;1
GOIAS;5932;1
GOIAS;5967;14
GOIAS;5991;13
GOIAS;6033;4
GOIAS;6041;15
GOIAS;6050;70
GOIAS;6068;11
GOIAS;6076;1
GOIAS;6122;81
GOIAS;6130;2
GOIAS;6181;3
GOIAS;6270;9
GOIAS;6408;3
GOIAS;6432;3
GOIAS;6459;1
GOIAS;6530;29
GOIAS;6548;1
GOIAS;6556;7
GOIAS;6564;2
GOIAS;6580;3
GOIAS;6599;152
GOIAS;6602;11
GOIAS;6610;15
GOIAS;6637;25
GOIAS;6645;14
GOIAS;6653;23
GOIAS;6688;2
GOIAS;6700;13
GOIAS;6726;21
GOIAS;6750;5
GOIAS;6769;51
GOIAS;6815;2
GOIAS;6823;1
GOIAS;6831;1
GOIAS;6858;8
GOIAS;6866;53
GOIAS;6912;57
GOIAS;6980;6
GOIAS;7030;2
GOIAS;7048;2
GOIAS;7064;3
GOIAS;7102;1
GOIAS;7218;2
GOIAS;7234;13
GOIAS;7242;99
GOIAS;7285;2
GOIAS;7315;1
GOIAS;7323;1
GOIAS;7340;15
GOIAS;7358;2
GOIAS;7366;42
GOIAS;7455;674
GOIAS;7463;71
GOIAS;7471;2
GOIAS;7579;110
GOIAS;7587;11
GOIAS;7625;47
GOIAS;7633;236
MARANHAO;5010;7
MARANHAO;5045;2
MARANHAO;5061;1
MARANHAO;5169;1
MARANHAO;5185;18
MARANHAO;5193;1
MARANHAO;5207;2
MARANHAO;5274;2
MARANHAO;5380;1
MARANHAO;5410;3
MARANHAO;5428;2
MARANHAO;5452;6
MARANHAO;5479;3
MARANHAO;5487;8
MARANHAO;5495;1
MARANHAO;5525;1
MARANHAO;5541;9
MARANHAO;5550;13
MARANHAO;5568;6
MARANHAO;5584;1
MARANHAO;5614;1
MARANHAO;5673;2
MARANHAO;5681;3
MARANHAO;5720;1
MARANHAO;5738;9
MARANHAO;5746;5
MARANHAO;5819;2
MARANHAO;5835;2
MARANHAO;5843;1
MARANHAO;5967;1
MARANHAO;6041;2
MARANHAO;6050;12
MARANHAO;6068;3
MARANHAO;6173;1
MARANHAO;6270;2
MARANHAO;6556;1
MARANHAO;6599;4
MARANHAO;6637;2
MARANHAO;6645;5
MARANHAO;6653;2
MARANHAO;6700;2
MARANHAO;6726;1
MARANHAO;6769;3
MARANHAO;6866;1
MARANHAO;6912;2
MARANHAO;7005;1
MARANHAO;7030;3
MARANHAO;7048;2
MARANHAO;7218;1
MARANHAO;7242;7
MARANHAO;7340;2
MARANHAO;7366;4
MARANHAO;7455;58
MARANHAO;7463;9
MARANHAO;7471;1
MARANHAO;7579;15
MARANHAO;7587;3
MARANHAO;7625;3
MARANHAO;7633;11
MATO GROSSO;5010;4
MATO GROSSO;5045;2
MATO GROSSO;5185;56
MATO GROSSO;5193;7
MATO GROSSO;5207;2
MATO GROSSO;5215;1
MATO GROSSO;5274;1
MATO GROSSO;5380;5
MATO GROSSO;5401;1
MATO GROSSO;5410;8
MATO GROSSO;5452;28
MATO GROSSO;5460;1
MATO GROSSO;5479;4
MATO GROSSO;5487;2
MATO GROSSO;5525;4
MATO GROSSO;5541;22
MATO GROSSO;5550;50
MATO GROSSO;5568;32
MATO GROSSO;5622;1
MATO GROSSO;5673;25
MATO GROSSO;5681;14
MATO GROSSO;5720;1
MATO GROSSO;5738;4
MATO GROSSO;5746;30
MATO GROSSO;5819;5
MATO GROSSO;5835;4
MATO GROSSO;5843;2
MATO GROSSO;5967;4
MATO GROSSO;5991;2
MATO GROSSO;6017;4
MATO GROSSO;6025;2
MATO GROSSO;6041;7
MATO GROSSO;6050;212
MATO GROSSO;6068;4
MATO GROSSO;6122;2
MATO GROSSO;6270;1
MATO GROSSO;6530;1
MATO GROSSO;6564;2
MATO GROSSO;6580;1
MATO GROSSO;6599;5
MATO GROSSO;6602;1
MATO GROSSO;6637;2
MATO GROSSO;6645;6
MATO GROSSO;6653;1
MATO GROSSO;6670;2
MATO GROSSO;6700;3
MATO GROSSO;6726;2
MATO GROSSO;6750;3
MATO GROSSO;6769;6
MATO GROSSO;6831;2
MATO GROSSO;6912;5
MATO GROSSO;6980;1
MATO GROSSO;7030;2
MATO GROSSO;7048;1
MATO GROSSO;7218;3
MATO GROSSO;7234;1
MATO GROSSO;7242;22
MATO GROSSO;7340;16
MATO GROSSO;7366;12
MATO GROSSO;7455;797
MATO GROSSO;7463;105
MATO GROSSO;7471;5
MATO GROSSO;7579;5
MATO GROSSO;7587;4
MATO GROSSO;7617;2
MATO GROSSO;7625;4
MATO GROSSO;7633;63
MATO GROSSO DO SUL;5045;1
MATO GROSSO DO SUL;5053;1
MATO GROSSO DO SUL;5185;26
MATO GROSSO DO SUL;5193;1
MATO GROSSO DO SUL;5207;1
MATO GROSSO DO SUL;5380;1
MATO GROSSO DO SUL;5401;2
MATO GROSSO DO SUL;5410;9
MATO GROSSO DO SUL;5452;17
MATO GROSSO DO SUL;5460;1
MATO GROSSO DO SUL;5479;4
MATO GROSSO DO SUL;5487;4
MATO GROSSO DO SUL;5509;2
MATO GROSSO DO SUL;5525;5
MATO GROSSO DO SUL;5541;12
MATO GROSSO DO SUL;5550;18
MATO GROSSO DO SUL;5568;16
MATO GROSSO DO SUL;5584;1
MATO GROSSO DO SUL;5592;1
MATO GROSSO DO SUL;5622;1
MATO GROSSO DO SUL;5665;1
MATO GROSSO DO SUL;5673;1
MATO GROSSO DO SUL;5681;8
MATO GROSSO DO SUL;5738;3
MATO GROSSO DO SUL;5746;48
MATO GROSSO DO SUL;5819;1
MATO GROSSO DO SUL;5835;1
MATO GROSSO DO SUL;5991;1
MATO GROSSO DO SUL;6041;3
MATO GROSSO DO SUL;6050;40
MATO GROSSO DO SUL;6068;1
MATO GROSSO DO SUL;6530;2
MATO GROSSO DO SUL;6564;1
MATO GROSSO DO SUL;6599;3
MATO GROSSO DO SUL;6637;1
MATO GROSSO DO SUL;6670;1
MATO GROSSO DO SUL;6700;1
MATO GROSSO DO SUL;6726;2
MATO GROSSO DO SUL;6750;1
MATO GROSSO DO SUL;6769;1
MATO GROSSO DO SUL;6866;1
MATO GROSSO DO SUL;7153;1
MATO GROSSO DO SUL;7242;9
MATO GROSSO DO SUL;7315;1
MATO GROSSO DO SUL;7366;5
MATO GROSSO DO SUL;7455;99
MATO GROSSO DO SUL;7463;19
MATO GROSSO DO SUL;7579;3
MATO GROSSO DO SUL;7625;1
MATO GROSSO DO SUL;7633;16
MINAS GERAIS;5002;43
MINAS GERAIS;5010;117
MINAS GERAIS;5029;6
MINAS GERAIS;5037;19
MINAS GERAIS;5045;31
MINAS GERAIS;5053;9
MINAS GERAIS;5061;3
MINAS GERAIS;5118;6
MINAS GERAIS;5126;4
MINAS GERAIS;5134;1
MINAS GERAIS;5142;1
MINAS GERAIS;5169;47
MINAS GERAIS;5185;1942
MINAS GERAIS;5193;126
MINAS GERAIS;5207;200
MINAS GERAIS;5215;37
MINAS GERAIS;5223;1
MINAS GERAIS;5231;15
MINAS GERAIS;5258;10
MINAS GERAIS;5266;3
MINAS GERAIS;5274;25
MINAS GERAIS;5282;3
MINAS GERAIS;5304;1
MINAS GERAIS;5320;1
MINAS GERAIS;5347;3
MINAS GERAIS;5363;1
MINAS GERAIS;5371;8
MINAS GERAIS;5380;124
MINAS GERAIS;5398;9
MINAS GERAIS;5401;10
MINAS GERAIS;5410;108
MINAS GERAIS;5428;10
MINAS GERAIS;5436;1
MINAS GERAIS;5444;15
MINAS GERAIS;5452;1308
MINAS GERAIS;5460;134
MINAS GERAIS;5479;148
MINAS GERAIS;5487;208
MINAS GERAIS;5495;9
MINAS GERAIS;5509;375
MINAS GERAIS;5517;5
MINAS GERAIS;5525;276
MINAS GERAIS;5541;3380
MINAS GERAIS;5550;2082
MINAS GERAIS;5568;1008
MINAS GERAIS;5576;2
MINAS GERAIS;5584;4
MINAS GERAIS;5592;36
MINAS GERAIS;5606;5
